Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	hoofdvorm met een ei voorop	12	A	9, 20
2	4	kegel op zijn kop	19	A	10, 28
3	3	bovenop de hoofdvorm	11	A	10, 11, 20
3	3	een ei voorop	20	A	9, 20, 28
4	2	de hoofdvorm	19	A	10, 11, 20, 28
3	2	hebben je	12	A	9, 10, 20
2	2	een kegel	9	A	10, 18
2	2	hoofdvorm hebben	9	A	20, 28
7	1	ja	26	A	1, 4, 6, 7, 16, 24, 26
6	1	een	20	A	9, 10, 11, 18, 20, 28
5	1	de	20	A	9, 10, 11, 20, 28
4	1	kegel	19	A	10, 18, 20, 28
4	1	zijn	21	A	8, 10, 20, 28
3	1	nummer	20	A	8, 19, 27
2	1	die	9	A	20, 28
2	1	en	19	A	10, 28
2	1	link	9	A	20, 28
2	1	op	19	A	10, 28
2	1	rechts	10	A	11, 20
2	1	staan	10	A	11, 20

