Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	en dan aan de linkerkant	23	A	15, 37
2	5	en zo'n staaf aan de	26	A	21, 46
2	4	die een met dat	33	A	10, 42
3	3	aan de linkerkant	23	A	15, 21, 37
3	3	en dan aan	26	A	12, 15, 37
2	3	aan de rechterkant	26	A	21, 46
5	2	aan de	37	A	10, 15, 21, 37, 46
4	2	zo'n staaf	32	A	15, 21, 37, 46
3	2	die een	45	A	10, 42, 54
3	2	ik hebben	35	A	20, 42, 54
2	2	bij mij	13	A	41, 53
2	2	en zo'n	26	A	21, 46
2	2	net iets	8	A	44, 51
2	2	oké dan	5	A	14, 18
2	2	rond erachter	35	A	20, 54
2	2	zijn het	9	A	10, 18
2	2	zo'n soort	4	A	21, 24
8	1	zo'n	32	A	15, 20, 21, 24, 32, 37, 39, 46
6	1	dat	49	A	10, 41, 42, 53, 54, 58
6	1	die	45	A	10, 12, 42, 44, 51, 54
6	1	en	43	A	12, 15, 21, 37, 46, 54
6	1	het	56	A	2, 10, 18, 19, 21, 57
6	1	ja	48	A	4, 24, 28, 36, 44, 51
6	1	oké	56	A	1, 10, 14, 18, 27, 56
6	1	zijn	49	A	10, 18, 19, 41, 53, 58
5	1	soort	35	A	10, 21, 24, 42, 44
4	1	een	45	A	10, 42, 44, 54
4	1	hebben	53	A	2, 20, 42, 54
4	1	ik	39	A	20, 42, 54, 58
3	1	erachter	35	A	20, 42, 54
3	1	iets	28	A	24, 44, 51
3	1	met	33	A	10, 20, 42
3	1	nummer	36	A	18, 41, 53
3	1	op	36	A	19, 44, 54
3	1	rond	45	A	10, 20, 54
2	1	nu	23	A	20, 42
2	1	ook	31	A	21, 51
2	1	staan	11	A	44, 54
2	1	verhoging	11	A	44, 54

