Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	5	tafel met de poot en	19	4	1	A	16, 19
2	2	3	en een soort	12	5	1	B	8, 12
2	2	3	ja dat zijn	22	12	1	A	11, 22
2	2	3	twee poot en	14	3	1	A	12, 14
4	2	2	dat zijn	13	12	1	A	11, 13, 18, 22
4	2	2	een soort	12	10	3	B	3, 6, 8, 12
3	3	2	dit zijn	19	10	1	A	12, 19, 21
3	2	2	met de	16	6	1	B	14, 16, 19
3	1	2	tafel met	21	6	1	A	16, 19, 21
3	1	2	twee poot	12	11	1	B	4, 12, 14
2	2	2	deze zijn	16	16	1	B	1, 16
10	8	1	ja	10	21	4	A	2, 5, 7, 9, 10, 11, 13, 15, 17, 22
6	2	1	dat	13	12	2	A	11, 12, 13, 18, 21, 22
6	1	1	en	12	14	2	B	6, 8, 12, 14, 16, 19
5	4	1	de	16	17	3	B	3, 6, 14, 16, 19
5	2	1	een	9	10	3	B	3, 6, 8, 9, 12
5	3	1	met	14	10	1	A	12, 14, 16, 19, 21
5	1	1	soort	16	14	3	B	3, 6, 8, 12, 16
4	4	1	het	16	17	2	B	3, 14, 16, 19
4	1	1	twee	20	17	1	B	4, 12, 14, 20
3	1	1	deze	16	16	2	B	1, 14, 16
3	3	1	er	12	10	2	B	3, 6, 12
3	3	1	trapezium	21	8	2	B	14, 19, 21
3	3	1	zitten	12	9	2	B	4, 6, 12
2	2	1	die	17	6	1	A	12, 17
2	2	1	doorheen	12	10	1	B	3, 12
2	2	1	erop	16	9	1	B	8, 16
2	2	1	okee	13	14	1	A	0, 13
2	2	1	van	12	10	1	B	3, 12

