Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	4	rechts zijn iets lang	8	3	1	A	6, 8
3	1	2	iets lang	6	7	1	B	2, 6, 8
3	3	2	rechts lang	14	7	1	A	10, 14, 16
3	2	2	rechts zijn	8	14	1	A	6, 8, 19
8	5	1	zijn	2	20	1	A	0, 2, 5, 6, 8, 12, 14, 19
7	1	1	lang	19	18	1	B	2, 6, 8, 10, 14, 16, 19
7	3	1	rechts	8	20	2	A	0, 6, 8, 10, 14, 16, 19
4	4	1	dan	8	20	1	A	0, 8, 14, 19
4	4	1	links	10	12	1	B	8, 10, 14, 19
4	4	1	twee	9	12	1	B	8, 9, 14, 19
4	4	1	uitsteeksel	2	11	1	A	0, 2, 8, 10

