ID	S1	S2	S1/Initiated Expression (IE_S1)	S1/Expression Repetition (ER_S1)	S1/tokens (%)	S2/Initiated Expression (IE_S2)	S2/Expression Repetition (ER_S2)	S2/tokens (%)	Voc. Overlap S1	Voc. Overlap S2	SR/S1/ELS	SR/S1/EV	SR/S1/ER	SR/S1/ENTR	SR/S1/L	SR/S1/LMAX	SR/S2/ELS	SR/S2/EV	SR/S2/ER	SR/S2/ENTR	SR/S2/L	SR/S2/LMAX
pair12_15_tsv	A	B	0.16666666666666666	0.35135135135135137	0.5138888888888888	0.8333333333333334	0.2	0.4861111111111111	0.391304347826087	0.45	9.0	0.1956521739130435	0.5434782608695652	1.2607717938967942	1.4705882352941178	3.0	8.0	0.18181818181818182	0.5454545454545454	1.1994602933016412	1.4375	3.0
039040_8_tsv	A	B	0.6176470588235294	0.2698412698412698	0.5163934426229508	0.38235294117647056	0.4830508474576271	0.48360655737704916	0.36923076923076925	0.4444444444444444	26.0	0.18309859154929578	0.5915492957746479	0.73492208944026	1.1857142857142857	3.0	26.0	0.18840579710144928	0.6014492753623188	1.049922837742907	1.3934426229508197	4.0
pair15_08_tsv	A	B	0.717948717948718	0.3333333333333333	0.5111111111111111	0.28205128205128205	0.5378787878787878	0.4888888888888889	0.5166666666666667	0.5166666666666667	27.0	0.17532467532467533	0.6688311688311688	1.257242960378627	1.4852941176470589	5.0	25.0	0.16233766233766234	0.6298701298701299	1.7707523715295068	1.8627450980392157	6.0
pair12_01_tsv	A	B	0.1111111111111111	0.6333333333333333	0.5084745762711864	0.8888888888888888	0.1724137931034483	0.4915254237288136	0.4666666666666667	0.3684210526315789	7.0	0.18421052631578946	0.5526315789473685	1.419556298571613	1.6153846153846154	3.0	5.0	0.13513513513513514	0.4864864864864865	1.2516291673878228	1.5	3.0
097098_7_tsv	A	B	0.2631578947368421	0.48175182481751827	0.4740484429065744	0.7368421052631579	0.29605263157894735	0.5259515570934256	0.43283582089552236	0.4027777777777778	33.0	0.21710526315789475	0.6578947368421053	1.4380373999263432	1.578125	4.0	37.0	0.22023809523809523	0.6785714285714286	1.2656234355497522	1.4675324675324675	5.0
019020_2_tsv	A	B	0.7142857142857143	0.3157894736842105	0.6551724137931034	0.2857142857142857	0.54	0.3448275862068966	0.3829787234042553	0.75	21.0	0.20192307692307693	0.6442307692307693	1.4776387137100737	1.7435897435897436	5.0	9.0	0.14754098360655737	0.6557377049180327	2.133937566094917	3.076923076923077	9.0
063064_5_tsv	A	B	0.3333333333333333	0.5166666666666667	0.37267080745341613	0.6666666666666666	0.2376237623762376	0.6273291925465838	0.6	0.3620689655172414	8.0	0.1111111111111111	0.375	1.4056390622295665	1.625	3.0	22.0	0.1981981981981982	0.5405405405405406	1.008246593233356	1.3255813953488371	3.0
055056_7_tsv	A	B	0.2682926829268293	0.6513761467889908	0.3061797752808989	0.7317073170731707	0.2591093117408907	0.6938202247191011	0.6222222222222222	0.3181818181818182	24.0	0.16326530612244897	0.5782312925170068	0.9739213287034887	1.296875	3.0	67.0	0.2454212454212454	0.7619047619047619	1.42092835261352	1.5633802816901408	4.0
077078_9_tsv	A	B	0.32608695652173914	0.5813953488372093	0.4725274725274725	0.6739130434782609	0.3020833333333333	0.5274725274725275	0.5277777777777778	0.5	36.0	0.18274111675126903	0.6548223350253807	1.2337534793829703	1.4285714285714286	4.0	44.0	0.2009132420091324	0.6757990867579908	1.3936807732655532	1.5227272727272727	5.0
131132_6_tsv	A	B	0.5806451612903226	0.44144144144144143	0.5186915887850467	0.41935483870967744	0.5145631067961165	0.48130841121495327	0.5306122448979592	0.5777777777777777	19.0	0.14615384615384616	0.5846153846153846	0.8708644692353644	1.2916666666666667	2.0	22.0	0.18181818181818182	0.6363636363636364	1.3640054628542204	1.6666666666666667	6.0
067068_2_tsv	A	B	0.8	0.15789473684210525	0.5163043478260869	0.2	0.5617977528089888	0.483695652173913	0.42	0.4772727272727273	23.0	0.21100917431192662	0.6238532110091743	0.8663137138648348	1.24	3.0	19.0	0.18446601941747573	0.6213592233009708	1.8330556814482384	1.9090909090909092	5.0
005006_4_tsv	A	B	0.6470588235294118	0.43243243243243246	0.3135593220338983	0.35294117647058826	0.37037037037037035	0.6864406779661016	0.68	0.3333333333333333	6.0	0.13043478260869565	0.391304347826087	1.2516291673878228	1.5	3.0	14.0	0.15217391304347827	0.45652173913043476	1.2183368243391808	1.4444444444444444	3.0
pair23_09_tsv	A	B	0.2692307692307692	0.5425531914893617	0.5081081081081081	0.7307692307692307	0.24175824175824176	0.4918918918918919	0.4444444444444444	0.36363636363636365	22.0	0.19130434782608696	0.6	1.180671362788246	1.411764705882353	3.0	17.0	0.14912280701754385	0.4649122807017544	0.8703622255167202	1.2439024390243902	3.0
pair24_14_tsv	A	B	0.7352941176470589	0.3211009174311927	0.5069767441860465	0.2647058823529412	0.6320754716981132	0.4930232558139535	0.48214285714285715	0.5510204081632653	17.0	0.13709677419354838	0.49193548387096775	1.391481266911694	1.5384615384615385	4.0	25.0	0.20833333333333334	0.6583333333333333	1.8351257766732543	1.951219512195122	5.0
037038_1_tsv	A	B	0.4	0.3625	0.5228758169934641	0.6	0.3150684931506849	0.477124183006536	0.3783783783783784	0.3684210526315789	20.0	0.2247191011235955	0.6629213483146067	1.6523103093311977	1.7435897435897436	5.0	14.0	0.16091954022988506	0.5862068965517241	1.5916727785823275	1.9285714285714286	6.0
143144_2_tsv	A	B	0.6842105263157895	0.37209302325581395	0.49142857142857144	0.3157894736842105	0.47191011235955055	0.5085714285714286	0.40476190476190477	0.4473684210526316	15.0	0.15151515151515152	0.5454545454545454	1.4762595471560018	1.606060606060606	4.0	22.0	0.205607476635514	0.6728971962616822	1.657537002805718	1.813953488372093	4.0
049050_14_tsv	A	B	0.6785714285714286	0.30303030303030304	0.5	0.32142857142857145	0.5959595959595959	0.5	0.5609756097560976	0.5111111111111111	25.0	0.21367521367521367	0.6666666666666666	1.460984021148118	1.58	4.0	16.0	0.13793103448275862	0.6120689655172413	1.8380267541624735	1.9444444444444444	5.0
pair07_08_tsv	A	B	0.4166666666666667	0.3148148148148148	0.5094339622641509	0.5833333333333334	0.4423076923076923	0.49056603773584906	0.39285714285714285	0.36666666666666664	12.0	0.1935483870967742	0.6451612903225806	1.188721875540867	1.5833333333333333	3.0	10.0	0.1724137931034483	0.5344827586206896	1.2674438038072338	1.5789473684210527	4.0
