Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	6	uitstulpsel die naar achter gaan en	16	B	12, 27
2	5	een schroef aan de rechterkant	10	B	27, 36
2	4	aan de linkerkant ook	16	B	11, 26
3	3	aan de rechterkant	25	B	12, 27, 36
3	3	en aan de	23	B	12, 26, 34
2	3	op het kop	26	B	9, 34
7	2	aan de	26	B	11, 12, 25, 26, 27, 34, 36
2	2	en ook	25	B	12, 36
2	2	ook zo'n	5	B	8, 12
2	2	weer zo'n	14	B	11, 24
7	1	de	26	B	11, 12, 25, 26, 27, 34, 36
4	1	die	23	B	12, 26, 27, 34
4	1	ja	29	B	5, 15, 23, 33
4	1	zijn	29	B	6, 23, 26, 34
3	1	een	29	B	8, 27, 36
3	1	gaan	20	B	8, 12, 27
3	1	groot	24	B	11, 26, 34
3	1	het	29	B	6, 9, 34
3	1	ovaal	27	B	8, 11, 34
2	1	dat	18	B	6, 23
2	1	ik	3	B	6, 8
2	1	oké	7	B	18, 24

