Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	een rond aan het uiteinde	12	A	2, 13
3	3	aan het uiteinde	12	A	2, 7, 13
2	3	aan de bovenkant	9	A	3, 11
2	3	dat zijn vijf	6	A	11, 16
2	3	ja dit zijn	5	A	13, 17
3	2	aan de	10	A	2, 3, 11
2	2	die neus	5	A	13, 17
2	2	een beetje	2	A	1, 2
2	2	ja dat	7	A	10, 16
2	2	stok doorheen	12	A	2, 13
6	1	ja	16	A	2, 5, 10, 13, 16, 17
5	1	zijn	10	A	11, 13, 16, 17, 20
4	1	dat	14	A	3, 10, 11, 16
4	1	de	16	A	2, 3, 11, 17
4	1	het	12	A	2, 3, 7, 13
4	1	weer	16	A	2, 3, 13, 17
3	1	die	16	A	2, 13, 17
3	1	doorheen	16	A	2, 13, 17
3	1	een	13	A	1, 2, 13
3	1	er	15	A	3, 13, 17
3	1	hebben	3	A	1, 2, 3
3	1	neus	17	A	1, 13, 17
3	1	zitten	12	A	2, 3, 13
2	1	dan	12	A	2, 13
2	1	eigenlijk	2	A	2, 3
2	1	en	10	A	2, 11
2	1	met	5	A	13, 17
2	1	ook	11	A	3, 13

