Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	aan de rechterkant en	19	B	8, 26
2	4	staart aan de linkerkant	9	B	26, 34
2	4	uitsteeksel aan de rechterkant	10	B	26, 35
4	3	aan de rechterkant	28	B	8, 26, 34, 35
3	3	aan de linkerkant	26	B	9, 26, 34
2	3	aan de bovenkant	19	B	8, 26
2	3	en aan de	19	B	9, 27
2	3	en het staart	4	B	31, 34
2	3	op de bovenkant	32	B	3, 34
4	2	dat zijn	27	B	7, 13, 24, 33
3	2	twee identiek	27	B	8, 26, 34
2	2	een staart	14	B	13, 26
2	2	en een	24	B	3, 26
2	2	ja ja	3	B	20, 22
9	1	ja	26	B	1, 3, 5, 7, 11, 13, 20, 22, 26
7	1	de	33	B	3, 8, 9, 26, 27, 34, 35
7	1	en	32	B	3, 8, 9, 26, 27, 31, 34
6	1	dat	27	B	7, 8, 13, 20, 24, 33
5	1	een	25	B	3, 9, 13, 26, 27
5	1	zijn	28	B	7, 13, 24, 33, 34
3	1	aztekenhoed	24	B	3, 20, 26
3	1	hebben	20	B	8, 9, 27
3	1	uitsteeksel	10	B	26, 27, 35
2	1	aztekenpyramide	27	B	8, 34
2	1	even	8	B	18, 25
2	1	je	8	B	20, 27
2	1	rechthoekig	8	B	28, 35

