Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	cirkel zien je	7	B	10, 16
2	3	de emmer waar	8	B	16, 23
2	3	dus die cirkel	2	B	9, 10
2	3	voor de helft	11	B	0, 10
4	2	zeggen maar	24	B	0, 9, 16, 23
2	2	dit zijn	8	B	16, 23
2	2	een soort	17	B	0, 16
2	2	en dan	17	B	0, 16
2	2	ja ja	8	B	14, 21
2	2	opsteken en	17	B	0, 16
2	2	opsteken er	17	B	0, 16
2	2	soort kegel	17	B	0, 16
6	1	ja	16	B	12, 14, 16, 19, 21, 27
5	1	de	24	B	0, 3, 10, 16, 23
5	1	maar	24	B	0, 9, 10, 16, 23
4	1	die	17	B	0, 9, 10, 16
4	1	je	17	B	0, 3, 10, 16
4	1	zeggen	24	B	0, 9, 16, 23
3	1	dan	17	B	0, 3, 16
3	1	dus	8	B	9, 10, 16
3	1	een	24	B	0, 16, 23
3	1	en	24	B	0, 16, 23
3	1	het	24	B	0, 9, 23
3	1	kegel	24	B	0, 16, 23
3	1	rechts	24	B	0, 16, 23
3	1	staaf	24	B	0, 16, 23
3	1	zien	17	B	0, 10, 16
3	1	zijn	24	B	0, 16, 23
3	1	zitten	24	B	0, 16, 23
3	1	zo	24	B	0, 9, 23
2	1	bovenuit	17	B	0, 16
2	1	citroen	15	B	9, 23
2	1	dat	8	B	9, 16
2	1	er	17	B	0, 16
2	1	half	8	B	16, 23
2	1	ik	4	B	0, 3
2	1	links	8	B	16, 23
2	1	met	15	B	9, 23
2	1	naar	24	B	0, 23
2	1	nog	24	B	0, 23
2	1	okee	4	B	0, 3
2	1	opsteken	17	B	0, 16
2	1	weer	8	B	9, 16

