Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
5	5	4	piramide op zijn hoofd	14	13	1	A	13, 14, 17, 20, 25
2	2	4	er zitten een soort	1	2	1	A	0, 1
2	2	3	en die kogel	25	8	1	B	18, 25
4	3	2	een soort	1	10	1	A	0, 1, 5, 9
4	4	2	ja ja	14	11	3	A	4, 6, 13, 14
3	1	2	die kogel	18	9	1	A	17, 18, 25
3	3	2	met die	18	9	1	A	17, 18, 25
2	2	2	aan de	9	6	1	A	4, 9
2	2	2	bij mij	27	2	1	A	26, 27
2	2	2	ja ik	21	21	1	B	1, 21
2	2	2	ja met	18	6	1	A	13, 18
2	2	2	zitten er	5	2	1	A	4, 5
12	7	1	ja	4	27	1	B	1, 4, 6, 7, 12, 13, 14, 18, 19, 21, 23, 27
9	4	1	zijn	9	24	3	A	2, 3, 4, 9, 13, 14, 17, 20, 25
8	5	1	kogel	5	25	1	A	4, 5, 9, 17, 18, 20, 25, 28
8	4	1	piramide	14	29	3	A	0, 4, 13, 14, 17, 20, 25, 28
7	5	1	en	4	28	1	B	1, 4, 11, 17, 18, 25, 28
7	4	1	met	13	17	1	B	9, 13, 17, 18, 20, 22, 25
7	2	1	op	9	22	1	A	4, 9, 13, 14, 17, 20, 25
6	5	1	de	5	12	3	A	2, 3, 4, 5, 9, 13
6	2	1	hoofd	20	16	1	A	13, 14, 17, 20, 25, 28
6	6	1	neus	17	27	2	B	1, 11, 17, 18, 22, 27
5	4	1	ik	1	22	1	A	0, 1, 10, 12, 21
5	3	1	zitten	4	27	1	A	0, 1, 4, 5, 26
4	3	1	die	18	22	2	A	4, 17, 18, 25
4	1	1	er	5	6	1	A	0, 1, 4, 5
4	4	1	o	27	18	3	A	10, 12, 17, 27
3	3	1	in	5	6	1	A	4, 5, 9
2	2	1	alleen	5	2	1	A	4, 5
2	2	1	deze	1	2	1	A	0, 1
2	2	1	hebben	4	4	1	B	1, 4
2	2	1	ook	27	24	1	A	4, 27
2	2	1	van	5	2	1	A	4, 5

