Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	die vierkant die klein worden	15	A	13, 27
2	4	aan de zijkant en	16	A	13, 28
3	3	aan de rechterkant	17	A	11, 18, 27
3	3	aan de zijkant	28	A	1, 13, 28
2	3	een soort van	2	A	0, 1
6	2	aan de	28	A	1, 11, 13, 18, 27, 28
3	2	die vierkant	17	A	11, 13, 27
3	2	dit zijn	28	A	0, 17, 27
3	2	klein worden	15	A	13, 18, 27
3	2	vierkant die	15	A	13, 18, 27
2	2	dat zijn	27	A	0, 26
2	2	even kijken	24	A	11, 34
2	2	hij hebben	8	A	11, 18
2	2	nog een	7	A	28, 34
9	1	ja	39	A	0, 5, 15, 21, 23, 25, 26, 36, 38
6	1	de	28	A	1, 11, 13, 18, 27, 28
6	1	een	35	A	0, 1, 2, 18, 28, 34
5	1	en	36	A	1, 13, 18, 28, 36
5	1	vierkant	26	A	2, 11, 13, 18, 27
5	1	zijn	28	A	0, 11, 17, 26, 27
4	1	die	17	A	11, 13, 18, 27
4	1	klein	26	A	2, 13, 18, 27
4	1	met	37	A	0, 17, 27, 36
4	1	nog	34	A	1, 18, 28, 34
4	1	rechterkant	26	A	2, 11, 18, 27
4	1	worden	26	A	2, 13, 18, 27
3	1	dat	37	A	0, 26, 36
3	1	er	3	A	0, 1, 2
3	1	hebben	17	A	11, 18, 27
3	1	van	12	A	0, 1, 11
3	1	zo'n	17	A	2, 13, 18
3	1	één	14	A	0, 11, 13
2	1	achter	16	A	13, 28
2	1	boven	29	A	0, 28
2	1	telkens	17	A	2, 18
2	1	zitten	2	A	1, 2

