Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
3	3	4	dit zijn negen uur	22	8	1	A	17, 22, 24
2	2	4	ja dan weten ik	11	6	1	B	6, 11
6	3	2	negen uur	10	27	1	A	0, 10, 17, 22, 24, 26
4	4	2	dat zijn	8	25	1	A	3, 8, 25, 27
4	1	2	dit zijn	26	10	1	A	17, 22, 24, 26
2	2	2	het zijn	18	19	1	A	0, 18
2	1	2	ja dan	11	6	1	B	6, 11
11	9	1	ja	5	26	1	A	0, 5, 6, 7, 8, 11, 13, 14, 19, 20, 25
11	1	1	zijn	21	28	2	A	0, 3, 8, 17, 18, 21, 22, 24, 25, 26, 27
8	2	1	negen	10	27	2	A	0, 2, 10, 17, 22, 23, 24, 26
6	2	1	dat	8	28	3	A	0, 1, 3, 8, 25, 27
5	5	1	je	6	11	2	A	0, 2, 6, 7, 10
4	2	1	dan	6	18	1	A	4, 6, 11, 21
4	2	1	ik	6	11	1	A	1, 6, 10, 11
3	1	1	het	21	22	1	A	0, 18, 21
2	2	1	deze	10	11	1	A	0, 10
2	2	1	die	18	15	1	A	4, 18
2	2	1	kubus	18	15	1	A	4, 18
2	2	1	maar	18	19	1	A	0, 18
2	2	1	van	18	16	1	A	3, 18
2	2	1	vier	27	16	1	B	12, 27
2	2	1	zeggen	10	11	1	A	0, 10

