Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	aan de linkerkant hebben	5	A	2, 6
3	3	helemaal naar boven	31	A	2, 25, 32
2	3	dit zijn weer	33	A	0, 32
2	3	een plat cirkel	19	A	0, 18
2	3	op zijn kop	33	A	2, 34
4	2	even kijken	31	A	0, 18, 20, 30
4	2	helemaal naar	31	A	2, 8, 25, 32
3	2	aan de	7	A	0, 2, 6
3	2	dit zijn	33	A	0, 25, 32
2	2	, het	24	A	2, 25
2	2	daar die	31	A	2, 32
2	2	die hebben	25	A	8, 32
2	2	een soort	31	A	2, 32
2	2	en daar	24	A	2, 25
2	2	gaan hij	15	A	11, 25
2	2	hebben je	3	A	6, 8
2	2	ja die	30	A	8, 37
2	2	naar links	18	A	8, 25
2	2	uittulpsel en	31	A	2, 32
7	1	die	36	A	2, 8, 18, 22, 25, 32, 37
6	1	hebben	33	A	0, 2, 6, 8, 25, 32
6	1	je	22	A	1, 3, 6, 8, 18, 22
5	1	een	40	A	0, 2, 18, 32, 39
5	1	en	31	A	2, 10, 11, 25, 32
5	1	helemaal	31	A	2, 8, 11, 25, 32
5	1	ja	30	A	8, 23, 28, 30, 37
5	1	zijn	35	A	0, 2, 25, 32, 34
4	1	hij	26	A	2, 11, 25, 27
4	1	oké	35	A	5, 14, 32, 39
3	1	boven	31	A	2, 25, 32
3	1	gaan	22	A	11, 25, 32
3	1	het	25	A	1, 2, 25
3	1	kop	35	A	0, 2, 34
3	1	links	25	A	8, 25, 32
3	1	nummer	16	A	24, 31, 39
2	1	bedoelen	20	A	3, 22
2	1	dan	22	A	11, 32
2	1	dat	38	A	0, 37
2	1	hem	27	A	1, 27
2	1	van	32	A	1, 32
2	1	zeggen	18	A	1, 18

