Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	4	dit zijn weer met	21	15	1	A	7, 21
2	2	3	de glijbaan en	21	6	1	A	16, 21
2	2	3	door het kop	16	17	1	B	0, 16
2	2	3	twee klein balkjes	8	4	1	B	5, 8
5	5	2	dat zijn	10	20	1	A	6, 10, 20, 22, 25
4	2	2	dit zijn	21	17	2	A	7, 16, 21, 23
3	1	2	de glijbaan	23	8	1	A	16, 21, 23
3	3	2	nog een	9	7	2	B	3, 5, 9
8	8	1	en	8	17	1	B	5, 8, 9, 12, 14, 16, 17, 21
8	8	1	ja	10	25	2	A	1, 4, 10, 13, 17, 18, 19, 25
6	1	1	dat	21	20	1	A	6, 10, 20, 21, 22, 25
6	5	1	een	9	17	3	B	0, 3, 5, 9, 11, 16
6	4	1	met	7	22	1	B	3, 7, 11, 16, 21, 24
5	5	1	die	12	16	1	A	9, 12, 16, 17, 24
5	2	1	glijbaan	11	15	1	A	9, 11, 16, 21, 23
5	2	1	nog	14	19	2	B	3, 5, 9, 14, 21
5	3	1	twee	12	17	1	B	5, 8, 12, 17, 21
4	2	1	de	21	15	2	A	9, 16, 21, 23
3	3	1	dan	8	7	1	B	3, 8, 9
3	1	1	het	16	17	2	B	0, 14, 16
3	3	1	oké	2	7	1	B	0, 2, 6
3	1	1	weer	11	15	1	A	7, 11, 21
2	2	1	erdoorheen	11	5	1	A	7, 11
2	2	1	opsteken	9	7	1	B	3, 9
2	2	1	schoorsteen	24	8	1	B	17, 24
2	2	1	zo'n	11	5	1	A	7, 11

