Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
3	3	4	dit zijn de kruiwag	36	7	1	A	32, 36, 38
3	3	3	een bak op	20	23	1	B	2, 20, 24
7	7	2	dat zijn	12	30	1	B	11, 12, 15, 31, 35, 37, 40
7	4	2	dit zijn	16	39	1	B	0, 16, 22, 23, 32, 36, 38
3	3	2	aan de	12	22	1	B	0, 12, 21
3	3	2	die kruiwag	28	14	1	A	16, 28, 29
2	2	2	weer een	16	15	1	B	2, 16
15	15	1	ja	8	40	4	A	1, 3, 5, 6, 8, 9, 11, 13, 14, 16, 18, 27, 30, 34, 40
11	4	1	dat	12	41	2	B	0, 11, 12, 15, 17, 21, 23, 31, 35, 37, 40
9	7	1	die	16	34	1	B	0, 16, 17, 19, 23, 26, 28, 29, 33
7	3	1	een	10	25	2	B	0, 2, 10, 12, 16, 20, 24
7	1	1	kruiwag	28	29	2	A	10, 16, 28, 29, 32, 36, 38
6	3	1	op	7	32	1	B	2, 7, 16, 20, 24, 33
5	5	1	en	12	22	3	B	0, 2, 4, 12, 21
5	5	1	met	23	27	2	A	7, 20, 23, 26, 33
4	1	1	bak	33	32	1	B	2, 20, 24, 33
4	4	1	zitten	12	13	3	B	0, 2, 4, 12
3	3	1	daar	20	19	2	B	2, 4, 20
2	2	1	klein	12	13	1	B	0, 12

