Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	dit zijn die met de	14	A	17, 30
2	3	aan de linkerkant	19	A	12, 30
4	2	aan de	27	A	4, 12, 19, 30
2	2	de blokkentoar	12	A	19, 30
2	2	en dan	6	A	12, 17
2	2	even kijken	36	A	0, 35
2	2	zitten een	4	A	1, 4
2	2	zitten er	5	A	3, 7
6	1	en	27	A	4, 7, 12, 17, 27, 30
6	1	ja	30	A	7, 14, 22, 27, 29, 36
5	1	de	27	A	4, 12, 17, 19, 30
5	1	zitten	12	A	1, 3, 4, 7, 12
3	1	dan	15	A	3, 12, 17
3	1	die	27	A	4, 17, 30
3	1	druppelvorm	17	A	1, 3, 17
3	1	met	14	A	17, 19, 30
2	1	het	28	A	0, 27
2	1	link	5	A	3, 7
2	1	nog	5	A	3, 7
2	1	twee	2	A	29, 30
2	1	zo'n	10	A	3, 12
2	1	één	24	A	7, 30

