"Pair";"Session";"Fribble_nr";"Name_a";"Name_b"
"001002";"pre";1;"schoef aan bovenkant";"twee pinnen vierkant"
"001002";"pre";2;"piramide aan bovenkant";"driehoek op bovenkant"
"001002";"pre";3;"rust op driehoek";"staat op driehoek"
"001002";"pre";4;"afgesneden driehoek bovenkant";"is teken zijkant"
"001002";"pre";5;"balk bovenop horizontaal";"meest compact"
"001002";"pre";6;"kopje met lepel";"bolletje met pin"
"001002";"pre";7;"tafel als plateau";"balk bovenin"
"001002";"pre";8;"twee ruiten bovenkant";"bovenkant doorboord vierkant"
"001002";"pre";9;"cillinder kegel rondje";"ovaal voetstuk"
"001002";"pre";10;"twee cillinder bol";"stok door onderkant"
"001002";"pre";11;"bol driehoek zijkant";"bolletje in het midden"
"001002";"pre";12;"rond plateau vuurwerk pijl";"niks bovenkant onderkant"
"001002";"pre";13;"plateau lijkt zwembad";"staat op vierkant"
"001002";"pre";14;"balk naar beneden";"balletje op bovenkant"
"001002";"pre";15;"twee cillinders bovenop";"vierkant door midden"
"001002";"pre";16;"twee ronde kegels";"piek op bovenkant"
"001002";"post";1;"schroef platte plaat";"schroeven schoorsteen vierkant"
"001002";"post";2;"piramide";"piramide"
"001002";"post";3;"wijnglas";"wijnglas"
"001002";"post";4;"afgesneden piramide";"afgezaagde driehoek"
"001002";"post";5;"robot";"scheppen aan zijkant"
"001002";"post";6;"balk door bol";"lepel rechts rondje"
"001002";"post";7;"tafel eettafel";"tafel"
"001002";"post";8;"schaap";"schaap"
"001002";"post";9;"ovalen steun onderkant";"ovaal voetstuk"
"001002";"post";10;"zonnepaneel";"zonnepaneel"
"001002";"post";11;"bol platte balk";"driehoekige balk"
"001002";"post";12;"bijzettafeltje met tuutje";"bijzettafel"
"001002";"post";13;"zwembad";"zwembad"
"001002";"post";14;"balk voor mok";"bal en balk"
"001002";"post";15;"glijbaan";"glijbaan"
"001002";"post";16;"rechtopstaande lepel sliert";"kegel boven en zijkant"
"003004";"pre";1;"verrekijker satelliet";"plat vierkant voorop"
"003004";"pre";2;"punthoed wielen neus";"uitstekende driehoek bovenop"
"003004";"pre";3;"rechte lijnen figuren";"op gedraaid statief"
"003004";"pre";4;"motor van boot";"dubbele balk rechts"
"003004";"pre";5;"raketmotoren";"balk horizontaal bovenop"
"003004";"pre";6;"neus piercing";"staaf door rondje"
"003004";"pre";7;"plank houder";"plank snijdt middenboven"
"003004";"pre";8;"pinokkio wetenschap kunst";"ruit staaf bovenop"
"003004";"pre";9;"suiker pot";"pijp handvat links"
"003004";"pre";10;"rollen schuine plank";"bolletje op handvaten"
"003004";"pre";11;"indiaan";"ronde bal rechtsvoor"
"003004";"pre";12;"trechter kom plaat";"horizontaal rondje voorop"
"003004";"pre";13;"zwembad trap afscheiding";"twee kraal ketting zijkanten"
"003004";"pre";14;"balhoofd armen neus";"verticale balk voorkant"
"003004";"pre";15;"glijbaan speelplaats";"vierkant snijdt midden onder"
"003004";"pre";16;"theepot tol";"linksvoor boven zelfde"
"003004";"post";1;"verrekijker";"verrekijker"
"003004";"post";2;"punthoofd";"puntmuts"
"003004";"post";3;"graal beker houder";"driehoek statief"
"003004";"post";4;"deurklink";"deurklink"
"003004";"post";5;"hanenkam";"hanenkam"
"003004";"post";6;"neuspiercing";"neuspiercing"
"003004";"post";7;"bakje plank";"kom houder plank"
"003004";"post";8;"boiler";"boiler"
"003004";"post";9;"theekopje";"theekopje"
"003004";"post";10;"buis door kopje";"staaf links klein"
"003004";"post";11;"indiaan";"indiaan"
"003004";"post";12;"taart houder";"taart houder"
"003004";"post";13;"pippi langkous";"pippi langkous"
"003004";"post";14;"basketbal armpjes";"basketbal"
"003004";"post";15;"glijbaan";"glijbaan"
"003004";"post";16;"vijzel";"vijzel"
"005006";"pre";1;"stapels vierkante blokjes";"spijker in bovenkant"
"005006";"pre";2;"hanenkam en puntneus";"driehoek aan bovenkant"
"005006";"pre";3;"trofee met blokjes";"gedraaide driehoek onder"
"005006";"pre";4;"gelijk aan teken";"twee balkjes rechts"
